"Sira";"Hat Adi";"kV";"Durum";"Neden";"Aktif ID Adedi";"Kaynakta Bulunan Aktif ID";"Panel MW";"Panel MVAR";"Panel Yuklenme (%)";"Aktif SCADA IDler";"Reaktif SCADA IDler";"Alias Potansiyeli";"Alias Notu";"Kaynak Deger Ozet"
"140";"400kV SEYDİŞEHİR (YENİ) - AFYON2 EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"1";"1";"1,51";"-0,96";"0,10";"b3307e8a-4745-44b8-8d98-718aef739130";"9fbb7ad5-1e8c-4444-bae8-92eab86b659a";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"1.51"
"141";"400kV ÇOBANBEYLİ - ELBİSTAN B TES - III EİH";"400";"matched-single";"Ayni zamanli aktif adaylar ayni degerde.";"1";"2";"-1,46";"-0,81";"0,10";"8aa3aacc-c18c-43c3-bc5c-fad5a680cb24";"4d0141db-aabd-4676-9d7f-1ee728d17017";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-1.46 | -1.46"
"142";"400kV BANDIRMA DGKÇ - BANDIRMA2 DGKÇ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"1,84";"0,15";"0,08";"ba38b16a-0968-4501-9587-a828040b03d9 | 6d43a216-6399-411a-8c71-038e0524c3a1";"82f81d92-add6-46dd-8e97-bc81c26a5186 | a1d7874b-f3a0-4769-90b4-dd6c5b189e26";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"1.84"
"143";"400kV ÇOBANBEYLİ - ELBİSTAN B TES - I EİH";"400";"matched-single";"Ayni zamanli aktif adaylar ayni degerde.";"1";"2";"-0,96";"-0,81";"0,07";"2e8e18f0-e7d7-4335-8695-8f351fe3c101";"88fc2167-3ba9-47c1-ba09-060754f4ac26";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-0.96 | -0.96"
"144";"400kV BURSA DGKÇ - BANDIRMA DGKÇ EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"2";"1";"-1,01";"0,00";"0,05";"29f6dad4-5dc6-4bbb-b0ca-ce7c6f645ebf | 4928b833-7837-4b94-afaa-0fe6e72ec08f";"19f186d3-e4b4-45d9-ab82-fcc19671a3b1 | d01e90b2-07b1-4f47-abd1-f25911516c29";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-1.01"
"145";"400kV VAN2 - KHOY(İRAN) - I EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"1";"1";"-0,73";"-0,37";"0,03";"f9589120-23db-476a-8553-0fda6417d83b";"552214c6-6235-4be4-bd82-e11f7e6307f4";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-0.73"
"146";"400kV EREĞLİ -> SEYDİŞEHİR - ADANA EİH";"400";"matched-single";"Tek aktif aday kaynakta bulundu.";"1";"1";"-0,30";"-14,02";"0,02";"3ffbe598-8d3e-4fed-a316-325ce5b76aac";"9f724dba-cd82-4ecc-b6cc-60e61564fa1d";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"0.09"
"147";"400kV DAVUTPAŞA - YILDIZTEPE EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"baa40b2b-6303-4191-8d10-22b09c12c2bd | e80089f2-ac9f-486f-94c1-b0a16b5bcc74";"76ea509a-59bc-4aa0-82eb-948c2b83e039 | f2068a32-e840-4037-a185-9d652d208a6d";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-230.85"
"148";"400kV ELGÜN - KIZILTEPE - I EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-54,47";"";"6fd85f89-2607-40e5-98c5-f98d8c9c64c8 | 965bb3c7-797c-41b0-8141-1401b9200c43";"1c37ba79-51dd-4a07-b513-990a739cf407 | 99f8ea70-5219-4fbf-9697-293ac11b711b";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-293.30"
"149";"400kV AKSA ANTALYA DGKÇ - DENİZLİ4 EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"6,47";"";"d267d719-1174-4486-a2d8-8de94ae5ef55 | 9cfae5b9-a960-4484-8c6e-8deddd5dd6d4";"cd551d33-2f2a-4f7f-9aff-d364d933e6df | 0c4c6641-9e45-4233-bcde-b1269450323f";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"176.72 | -163.46"
"150";"400kV DENİZLİ4 - RWE DENİZLİ DGKÇ - I EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"1e1f1738-25e9-4278-b1dd-13e24bb39e22 | cc1f1d56-b791-4130-b836-3a00cb74f41f";"919a547b-11c5-4759-a7ec-231cfb90dbce | c8cb9b25-e757-4ca1-87af-a5598f2608e3";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"80.11"
"151";"400kV YATAĞAN TES - DENİZLİ4 EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-17,43";"";"263944ed-e4af-4aa6-bd4c-9372afa76094 | 0a33420a-b865-47c4-8179-91e8c5918b37";"c65b3467-9063-492c-85a0-5a9862a32110 | cdc8cb6a-c772-4f66-a7ae-44161a7f58c3";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-95.62"
"152";"400kV AFYON2 - RWE DENİZLİ DGKÇ EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-88,02";"";"eec9c5c4-d367-441f-b236-cb66c054106e | 487b767f-8be0-452d-a359-f6aeb01ec240";"9ba703a9-e563-43d1-947d-f62c1f5d988d | 3e5d020f-77e6-47bb-b2bf-7db741a9e01b";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-118.32 | 133.28"
"153";"400kV BAŞPINAR OSB - ERZİN EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"9e45618f-4754-4b67-b96c-a3c67b692204 | d0cf32af-5a27-438b-a4cf-d0abdab3f92b";"e8494fe3-49c1-42d0-a44f-cb3a072301de | e58dba4a-b615-4a9a-becc-1ad2b156d98d";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-582.37"
"154";"400kV TİREBOLU - KALKANDERE EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"10,26";"";"5aee5bbf-5f1e-4abe-bce0-02871fde97f4 | bc9176c1-566e-4a30-b5ac-8dbb24fddb9d";"91c40808-a56e-4b1e-8a4c-260eca366794 | dd16ab18-8068-457b-9b1b-2d498ef66c1b";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (20.14 MW).";"576.07 | -555.93"
"155";"400kV BORÇKA HES - KALKANDERE EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"bab40e78-8ac9-4b47-9c4d-54350c1a9880 | 70d7cd49-0e77-403b-89f6-4c6681b0eb93";"6e544ab5-d65e-4ec1-89d5-611141d405c2 | f95cc323-6b7e-4e0a-9ccb-5a31cfa6c670";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (5.60 MW).";"314.14 | -308.54"
