"Sira";"Hat Adi";"kV";"Durum";"Neden";"Aktif ID Adedi";"Kaynakta Bulunan Aktif ID";"Panel MW";"Panel MVAR";"Panel Yuklenme (%)";"Aktif SCADA IDler";"Reaktif SCADA IDler";"Alias Potansiyeli";"Alias Notu";"Kaynak Deger Ozet"
"222";"400kV ADAPAZARI - KOCAELİ - II EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"75c21242-9f74-43ab-9335-ef466ddca19c | b5e04616-061e-4bf6-8918-341d799e3d64";"7840feb8-0878-422d-86e4-2b01f6315854 | ed49d1f5-b9eb-4447-b964-596237709f8e";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"899.06 | -861.56"
"223";"400kV KOCAELİ - MAKİNA OSB EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"60767ad7-fa28-4415-8233-0b5df0d00625 | d3bdffdf-d102-472e-83bc-9850fb968995";"fe2493b9-62b6-4b28-94ed-e85b34d1ee99 | 213074a0-ae23-4873-8e1b-0a3fd0182b66";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (49.77 MW).";"925.43 | -875.67"
"224";"400kV ERZİN DGKÇ - KOZAN HAVZA EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-126,36";"";"61607a02-32cf-42c8-8da1-08e8a4886339 | 257dc7df-3444-456a-8fb2-002d08a357ee";"027154ce-2b1e-4859-a36b-071088c168ab | f03cb14f-f53e-47fb-b50e-0e2f0337b876";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (34.57 MW).";"-63.12 | 97.69"
"225";"400kV ARKUN HES - İSPİR HAVZA EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-4,40";"";"617abd8b-ec08-455c-849c-c5e13e54ccec | e6c0defa-46aa-45de-9afc-d7679cc67199";"e4a0b2b1-3e1e-47d2-a35d-5b807ad85ed6 | 4c3949a0-d18a-4165-a616-7a52643c8358";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-125.15"
"226";"400kV OSMANCA - ZETES3 EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-31,81";"";"83dfa2cf-a4f7-4b23-a553-e22066f4196b | 580f3648-e9a2-4f9f-a959-5462db5802e5";"7509cb5e-45fc-4c71-a1c1-841f1de387cb | 9920dddb-4bc1-4dc8-af06-fd7ef52d44fb";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-20.23"
"227";"400kV ZETES2 - ZETES3 EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"07b42c59-cf67-49a2-a42a-7e31fa2081bd | 9e6c23eb-f0c5-4d5b-b3ee-91ab7c23a70c";"5d815d38-f8e7-4694-a689-ab9545973020 | 01f8f9e6-00f6-412a-b65d-2f9376a51fc9";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (20.73 MW).";"-316.69 | 337.42"
"228";"400kV ADA2 DGKÇ - ZETES2 EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"6eeedf35-2f26-45e7-a2f5-f1f2f4ac81ca | 6077c493-6baa-4c63-8f8c-cbb4316b0ea3";"48faf61c-8300-45c2-91df-3fdaeda4edd5 | 9171daee-c772-4f26-8e89-20067ed60ef7";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-258.89 | 279.75"
"229";"400kV KIRIKKALE DGKÇ - KAYABAŞI EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"73,82";"";"dd836530-d9b2-4de2-8a2f-4ab9b75236c3 | 771b84d0-2a37-49a1-9627-2643eb56eff6";"e9e4a64d-5461-4131-948d-203d1b335a81 | 78ce44d2-42d4-4a07-bcef-0c507375087d";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-350.12"
"230";"400kV PAŞAKÖY - OSMANCA EİH";"400";"ambiguous-live";"Coklu aday var ancak ayni anda tutarsiz deger uretiyor.";"2";"2";"";"";"";"46a972a1-67aa-4d89-a3fa-fd13bdf47e3c | 9460dddb-e458-4e96-a373-9efd8f394888";"af027421-1842-456a-a906-69d38ed69d62 | b670e85f-58a9-42b0-b3ee-3025fcdc683d";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (33.07 MW).";"596.54 | -563.48"
"231";"400kV ILICA ZEKİ GÜRGEN - İSPİR HAVZA EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"0,10";"";"f2b17b67-fab4-4d70-8542-d1bbb87f0b6e | 869d6238-5246-42d5-85d3-f66bd376aebe";"9864c94e-7734-41c5-b3c1-4678f5855fc6 | b7f963df-55b0-445a-bf33-c022a1236fb6";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-251.58"
"232";"400kV REŞADİYE - ALTINORDU EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-23,31";"";"e7e4e116-a82a-4ca0-bd99-a8b0ca3e2d6a | 41da833c-172b-4d05-a238-557187fbef24";"cbdf793e-ccc6-4fdf-8876-482144100a05 | d09f9da1-a472-48f6-b88a-977f1387b77b";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-249.10"
"233";"400kV GELİBOLU - CENAL TES - II EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-43,33";"";"8d7a89eb-4313-48f9-a99a-48afff7d1b00 | 43464dca-1dd9-4c78-8dbd-d09df1fe775f";"dd844941-895e-40de-9949-183437afabef | 9916e062-44eb-4597-94cd-7d6f51b67025";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (35.39 MW).";"152.96 | -117.57"
"234";"400kV GÖLBAŞI - İÇ ANADOLU DGKÇ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-66,23";"";"4e2e44e2-03bd-4ebc-be6f-d08959f88a5a | 6d272e1f-3b34-49c7-961c-d2a18eff136f";"d73dd139-46c3-4bd3-9ce8-970cc15a249e | f9a464fc-ceab-49af-96e5-b66134345a3b";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-173.72"
"235";"400kV GÖKÇEKAYA HES - GÖLBAŞI EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"ebee59ea-62d4-4cb2-a14c-e7abea4f7e8d | 312b6d76-8e96-44e9-98e9-986a3b495d62";"2b41c021-8b92-4eb2-93a5-d09198e33540 | e1732648-262c-4f60-bd8f-e6f2e5cd3c36";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"648.11"
"236";"400kV ELGÜN - KIZILTEPE - II EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"126,49";"";"fe53c65f-01c5-47d0-80f7-e103d20c20df | a573c6f7-85ef-41fd-a9ab-75205cf76bd1";"84d324b6-c83c-4389-9faa-ce1aacd79bb3 | bb9bb840-728d-430f-bc63-f3bcdcd42ca0";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-280.99"
"237";"400kV İSTANBUL F.OİL DGKÇ (B) - YENİBOSNA EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"a7424e8f-893c-48bb-a0b6-448546394cf7 | 739611d6-5df7-4a77-8c63-519446b313ff";"1e0892dd-879c-486c-8461-3fc6a8647e37 | ae69f828-29bb-49f3-a9cb-1a2ffd411c12";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-16.73 | 26.72"
"238";"400kV BAĞLUM - KURŞUNLU - I EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-24,14";"";"b9adedf9-cdc5-4289-ab71-bbc0b9d72aab | 6212a69d-2c16-4e9d-b27d-8cb3070559d3";"b5374981-f65a-482b-b454-735052b7f692 | 46a992a1-1dd2-485f-aa28-9b1748a45e4a";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (4.56 MW).";"-55.49 | 50.93"
"239";"400kV BAĞLUM - KURŞUNLU - II EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-7,75";"";"4df527b9-7a36-4c56-b03c-97009670b795 | 60c6b78e-44b8-4a05-a7e4-41a3d47a3030";"5661af2c-2ea3-4744-9d5c-ad2f9b04a67b | 2cf32c22-ed54-40e3-9fd6-a7e97d900b4a";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (15.35 MW).";"-44.57 | 59.92"
"240";"400kV SİNCAN - KIRIKKALE DGKÇ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-77,01";"";"d6f7529b-302c-4830-a4d7-c3895e7c1ffa | 0c7ac670-b3db-4a41-aea2-b5cbab38f81a";"1110d112-5118-42fe-b45f-10e2437b6e30 | 9fdb8a8d-ae92-44cf-92c1-eeaaccaca2fc";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-162.62"
"241";"400kV KIRIKKALE DGKÇ - İÇ ANADOLU DGKÇ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"6,22";"";"c8056eea-7049-410c-b0db-f0fb29a0a009 | c9de1f4e-13bc-4dca-90d5-a6cb5891419e";"5cc545a0-1067-4abf-99d6-c0542b2e0eb5 | cfcf54bc-1654-440a-9134-fd06583118f2";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-223.19"
"242";"400kV ILICA ZEKİ GÜRGEN - KARAKOÇAN EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-55,96";"";"a44a9587-37dd-41da-8ca9-34133761af0b | 9cc63589-491c-4f6f-9f52-cdc63e1ecee3";"a23f9cbe-b0e7-467b-8794-58340d56b41e | c3c0ee2b-3d70-4643-8f07-773bf1245863";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (5.59 MW).";"-198.39 | 203.98"
"243";"400kV SOMA RES - SOMA KOLİN TES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"752eddfb-7a28-48d1-b7bb-258e01636e25 | 2fc9ac41-5b9f-4342-bee7-b392bbc116ca";"16cfca15-5870-480b-a902-365e8ecf5c66 | 7d63eab2-db54-489c-acf7-c1e5cc59e035";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (3.23 MW).";"-57.86 | 61.10"
"244";"400kV KAPIÇAM - BAŞPINAR OSB EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-27,51";"";"af539ba6-6346-4c5b-928a-85f83786da50 | dacb31ee-14ee-4296-9cdb-06c58dce677e";"87589a7f-01f4-45e1-a247-43fb98c981d8 | 705d131e-fc90-4256-b991-ea8207ed92ae";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-75.34"
"245";"400kV YEŞİLHİSAR - KOZAN HAVZA - II EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"5b3fff56-01da-4a30-8cf3-24138f0228b6 | c00d01a1-2630-48f5-a318-4500a8befc6c";"a5f06cfa-186c-4c3f-b7b5-268c53ff457a | 6a05d316-c5e8-4c9f-83a8-b6f86ff1e576";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-247.46"
"246";"400kV SEYİTÖMER TES - UŞAK400 EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-28,40";"";"8aa75ff5-003f-4035-a63c-e7f290d18994 | 9466fed1-d815-4c28-8250-218b757022d9";"c6351842-7df2-440b-acec-426209eb15a1 | f5fc8b90-9a52-467c-8bb6-895a0ee23edd";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-63.99"
"247";"400kV KIZILTEPE - CİZRE EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"51,80";"";"93516449-3a4f-4d99-8389-fa5579a48b15 | 76e86d96-fa5f-4ed2-b8a7-585c8b7a2361";"dd5bb9f1-8ee2-4dbb-b1dc-e75eba58eff6 | a67d1d20-37fd-4b37-a05b-b44bc957141e";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (4.31 MW).";"749.34 | -745.03"
"248";"400kV UZUNDERE - BORNOVA380 EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"2,52";"";"69f55020-8112-47a6-a4f7-40ef15360df1 | f6c39963-dfed-4f74-8cc0-6dae795ca494";"e5f9e703-6897-493b-8b81-4a3f086ad141 | 89a7d579-3ea1-4639-ad29-8e26b7eda20c";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"327.42"
"249";"400kV IŞIKLAR - BORNOVA380 EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-64,64";"";"01728015-2344-4a2e-8c83-a6194abe5896 | cfd1f97e-682c-479e-8b58-3be2a10539a1";"7a1d00bd-24cd-4bc3-ac16-c4b353dbb244 | ea5fa9ff-b5ed-43e3-8ca1-fa89ecace50d";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-500.30"
"250";"400kV TEKİRDAĞ DGKÇ A - DELİKLİKAYA EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-22,93";"";"d197e3ee-c975-4706-8f51-0333b94b666a | 23e42d7c-e848-49ae-a0c4-3e1a7ef2a46e";"92bb2645-a80b-4d7f-9a78-0889e844ac71 | 6a46c72a-4e95-452c-9674-f28e584a103f";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-107.78"
"251";"400kV TÜRKGÜCÜ - DELİKLİKAYA - I EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-27,71";"";"ffd5ab19-2c70-44ee-86d2-66f61861bfe4 | be472698-af23-4249-a8d6-17842d67c9ff";"1ecf5f95-184a-48db-8191-50add606bb62 | 43b04d15-a1c2-471e-a7f8-a07da35352a3";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-36.77 | 67.67"
"252";"400kV TÜRKGÜCÜ - DELİKLİKAYA - II EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-27,83";"";"14743aee-4d62-47c5-a0d3-6cc10f61c30b | 46712f7f-72ba-465f-8f4a-014674d5eee7";"d43574df-ba83-457b-acca-a437d021aa3c | 98ae6372-eb15-45e0-b343-09fe2cb0699e";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-36.73 | 63.55"
"253";"400kV BATMAN2 - ILISU HES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"39,99";"";"51f44d0a-6bc5-40f8-b1e9-0d8a74ab9a5c | 03775f08-ce34-43e2-89c4-8295715a05bf";"42fa659d-7ddf-4780-8a10-bc1e3ac7dc9c | 76c6d0bc-7933-417b-87b6-1da35eec4774";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (13.61 MW).";"-314.64 | 328.25"
"254";"400kV KIZILTEPE - ILISU HES EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"1ed27b0d-feac-4b27-811c-eb5326d54f04 | 9045037c-bf83-4e55-a01e-0ac6d7902737";"608a02e1-8f6d-4f9d-a504-54df8a7ff8d1 | e0210df1-3745-43d6-8fdd-7f9693536b47";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"435.43 | -372.88"
"255";"400kV CİZRE - ILISU HES EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"bd20f92f-b7b4-47a8-81f3-8c8f62d58d82 | ead78657-afa0-4cdf-a411-ad479d320220";"408ad107-c29f-4676-8e87-bac364edfe0b | 25f891e4-b8b2-40cf-a38d-4cf4e846fa6a";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-632.78"
"256";"400kV YUKARI KALEKÖY HES - AŞAĞI KALEKÖY HES EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"3,12";"";"e558d806-a986-41d6-91b2-35bf45a2efb6 | a0022da8-3d51-484d-97e0-a69b0931d3de";"62172efa-e416-4579-a565-c20b859cd5de | bdc962f0-747a-4814-ad74-e9a39cd081d8";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"412.28"
"257";"400kV BATMAN2 - AŞAĞI KALEKÖY HES EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-72,07";"";"8eee4414-f4a3-4cb5-b8eb-b90c0d42fd58 | f5997f60-93f4-4555-9d8c-92d96270649f";"04e5efc0-20f7-48b3-ae0e-d2d2ed9bedf6 | 2f120873-4dc8-404a-b2bf-b1bafb0818d8";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"150.08"
"258";"400kV VARSAK - SERBEST BÖLGE EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-46,24";"";"f8741157-c6bc-4da9-a980-9f26dad1b5b6 | bcf08d7e-d4ff-4966-bef9-760fd03bfb16";"c302533b-7820-48d0-b1f1-9a6947017529 | bc17572b-2b49-4d37-9300-07dfeb8f7330";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-137.81 | 141.21"
"259";"400kV ATIŞALANI - SAĞMALCILAR GİS EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-108,16";"";"f9eaac93-d836-48ef-9ec1-f9a1c22d1cb2 | 843df2af-c65f-4293-9734-27304955ea5e";"ca34a031-b498-4ece-80b7-e3e78bf98fac | 4e4d556f-51d9-4d95-8d87-7a5bfd5493ac";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (10.46 MW).";"37.46 | -27.00"
"260";"400kV GÖLBAŞI - SİNCAN EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"5fd1911e-5ef8-49fa-9076-5bdfa194241e | 95963c3b-0f13-48c2-a368-0d045d37d93a";"9d7d1484-e627-4bbd-9df1-9596da15f3ba | e326b964-3a26-4957-9dc8-d4dcb68a0138";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (34.59 MW).";"546.72 | -512.13"
"261";"400kV ALİAĞA2 - RAFİNERİ EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"9857106e-42db-47b7-adf0-9c4c10a0de4f | c705089d-137f-4a73-a34a-87132cf24075";"809e9cb2-6d33-4c30-831b-7618047e23f4 | f6b03c2a-5456-448f-97c5-799e89835f13";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-84.17"
"262";"400kV ANTALYA SERBEST BÖLGE - AKSA ANTALYA DGKÇ - EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-28,91";"";"2af3ff12-0f48-4fb3-b8f8-9efea0bde9d2 | 7e3cc16a-190c-456b-a469-c1ec53b4b474";"3c4880c3-20b4-4542-a5a0-6fc16fa1ac41 | d8fe7414-8d4a-4b74-8cec-4c7027576379";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"19.56 | -4.82"
"263";"400kV KARATAY - KONYA KUZEY EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"1b548d3c-3614-4ed0-b92d-bce43f1db5b4 | 32000831-f18d-4fac-934d-b83d58e3a9f7";"468be6ff-92be-4cf3-a90d-685b93c6bd5a | a382842e-a7d6-41fc-bb32-59de170a9c74";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-324.37"
"264";"400kV KOCAELİ - ULUDAĞ GİS EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-13,46";"";"4ea0e96c-6377-4256-9ba5-899078a5ba48 | 897111be-d06a-4cfa-bd89-7050bd644f92";"1f5ee1ec-4f56-4fab-a705-1a2980f99847 | f51a2489-f3a9-4fbb-b04f-b712425772ab";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-175.25"
"265";"400kV BAŞPINAR OSB - ŞEHİTKAMİL OSB - I EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"";"";"078a1222-3932-412a-9aa1-109f55731e50 | 17e63093-a289-451e-865b-85a9c654329b";"87acbce7-47c3-4e15-8e8c-37c251455451 | c84036ef-22c2-488c-a99c-ab4f01a4963e";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"289.38"
"266";"400kV IŞIKLAR - GERMENCİK EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-80,23";"";"555aef91-2b2f-4a12-b9a7-87e37b0cb9a9 | 3a82c4fc-983a-443b-8bc1-d017fdb0c3a0";"d5bb35b5-80e9-4275-a941-91ca8426d735 | dd83e793-3067-4621-84d8-0b13b63cf7f9";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"527.61 | -509.53"
"267";"400kV YATAĞAN TES - GERMENCİK EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-57,01";"";"92992a39-ba4f-4dc7-84ec-f616d82c3110 | 700874cd-c50b-447f-b516-64591087bf6f";"5b7f8fdb-de2c-49e5-a4eb-9c3e9df967e4 | c9c86d57-129c-4cd9-8682-ccb04e405428";"still-ambiguous";"Alias eslestirme olsa bile uc degerler ayrisik kaliyor.";"-318.12 | 319.60"
"268";"400kV SİİRT380 - ÇETİN HES EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"0,64";"";"d8878e86-344d-443c-b89b-896d1812f7af | 4ebe30aa-a907-4660-a414-cc200bc98c61";"aaf2c9c4-a21e-402c-8abc-f4365bf6c767 | e185e850-505d-4868-b6d3-64891aa690b1";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-167.20"
"269";"400kV OYMAPINAR - OYMAPINAR HES - I EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"1";"2";"";"";"";"734f19ae-7c4e-4073-a879-fb59d5470bb8";"4e5eef4c-0260-4f90-9185-9980827d7cb4";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-202.37 | 202.37"
"270";"400kV OYMAPINAR - OYMAPINAR HES - II EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"1";"2";"";"";"";"14c006d2-a199-4c06-a084-b9aa7d74f26d";"ae3f55ae-5681-4ce2-aad5-41fe92004051";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-158.05 | 158.05"
"271";"400kV İZMİR HAVZA - RAFİNERİ EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"-4,72";"";"9821b685-490f-454c-94e3-2d5676809028 | d7a5ef36-3d4e-4e3b-b263-e3b575e3d99e";"94f5975a-27ad-4402-8563-df514a7d5c57 | 576632ef-f83b-4d12-9427-b17e12898107";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (42.89 MW).";"-25.74 | 68.63"
"272";"400kV HAMİTABAT DGKÇ - VİZE HAVZA EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"14,65";"";"90d6ea2f-2fa0-4a35-8eb7-fc0981ac0aae | 95b344df-c2a7-4122-a39f-a682ad98901c";"0a0f990b-448c-4c57-9338-7f1a25b172a9 | 04140ad1-a20d-40e3-8998-0822c1bd2571";"would-resolve";"Alias-aware yon eslestirme ile tolerans icinde birlesir (62.59 MW).";"201.98 | -139.39"
"273";"400kV BEKİRLİ TES - ÇAN HAVZA EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"";"";"e6394157-e70b-4d4b-95a5-00727cb0c5c7 | 809e165d-3a06-478c-b534-22b6a429ec6a";"5d1d2aa9-3f15-4c9c-9b5b-40a208b32ff8 | 9646e8af-c29b-4c65-85a3-44959b0450be";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"-533.63 | 609.39"
"274";"400kV ÇAN2 TES - ÇAN HAVZA - I EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"34,04";"";"e427cc9b-3ba1-4c17-9c8b-c6bbf5ab2fcb | e7461d0e-98f3-4ea6-99e0-7afb486fdccb";"52889479-cc3e-422d-8936-c5bfa8e42b48 | 115325b5-174f-4dca-a3d6-113640bdff9b";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"109.06 | -103.84"
"275";"400kV ÇAN2 TES - ÇAN HAVZA - II EİH";"400";"ambiguous-live";"Coklu aday var; kaynak terminal adlari TM adlariyla exact eslesmedigi icin yon normalize edilemiyor.";"2";"2";"";"33,95";"";"15a8481b-9886-4d69-9a60-b56f7a4aa888 | f9d5baff-bee6-434b-91b0-40db8e2309a0";"3936f9c0-4b1d-4438-b8e3-00a854c4ef49 | 3983fae5-bee6-4392-855d-30182eff16cd";"needs-better-alias";"Alias katmani olmadan terminal yonu belirlenemiyor.";"102.27 | -97.55"
"276";"400kV ZETES3 - BARTIN OSB EİH";"400";"matched-single";"En yeni aktif aday tekil secildi.";"2";"2";"";"-21,46";"";"3bedf6e9-84be-49a9-a583-eca73aff04d8 | 5b63491e-0bdd-4801-8508-48f24a6e9f59";"d5ad0cab-e20a-4cd3-88db-775a6c4e8834 | 39b87caa-2605-4df3-8ac8-cec8c521848a";"would-resolve";"Alias-aware yon eslestirme ile tekil secim korunur.";"-21.32"
