GERILIM REFERANS DEGERI ILETILEN BARANIN ADI:;BAYRAMHACILI_154;;;;;;;;
ILGILI BIRIMIN UNITELERININ NOMINAL AKTIF GUCU(Pnom):;23,5;23,5;;;;;;;
ILGILI BIRIMIN UNITELERININ ASIRI VE DUSUK ZORUNLU MVAR DEGERLERI (MVAR):;14,56;-7,72;14,56;-7,72;;;;;
VARSA ILGILI ANLASMA DAHILINDE SENKRON KOMPANSATOR HIZMET VEREBILEN UNITELERIN SENKRON KOMPASATOR DURUMUNDAKI ZORUNLU MVAR DEGERLERI (MVAR):;0;;;;;;;;
TARIH;SAAT;SIRA_NO;BARA_GER_kV;BARA_GER_SET_DEG_kV;TOP_REAKT_CIK_GUCU_MVAr;UNI_1_BIRIM_MKUD;UNI_2_BIRIM_MKUD;UNI_1_GEN_TER_AKT_CIK_GUCU_MW;UNI_2_GEN_TER_AKT_CIK_GUCU_MW
01.05.2026;16:05:00;966;160,684;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:06:00;967;160,416;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:07:00;968;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:08:00;969;159,881;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:09:00;970;160,523;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:10:00;971;159,935;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:11:00;972;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:12:00;973;160,684;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:13:00;974;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:14:00;975;159,721;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:15:00;976;161,165;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:16:00;977;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:17:00;978;160,684;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:18:00;979;159,881;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:19:00;980;159,561;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:20:00;981;159,935;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:21:00;982;160,149;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:22:00;983;159,347;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:23:00;984;159,293;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:24:00;985;159,347;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:25:00;986;159,026;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:26:00;987;158,865;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:27:00;988;159,026;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:28:00;989;159,186;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:29:00;990;160,630;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:30:00;991;160,897;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:31:00;992;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:32:00;993;159,668;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:33:00;994;159,400;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:34:00;995;159,454;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:35:00;996;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:36:00;997;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:37:00;998;160,149;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:38:00;999;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:39:00;1000;159,935;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:40:00;1001;159,186;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:41:00;1002;159,668;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:42:00;1003;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:43:00;1004;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:44:00;1005;159,347;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:45:00;1006;159,347;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:46:00;1007;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:47:00;1008;159,347;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:48:00;1009;158,759;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:49:00;1010;158,277;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:50:00;1011;158,117;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:51:00;1012;158,545;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:52:00;1013;158,491;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:53:00;1014;159,400;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:54:00;1015;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:55:00;1016;160,363;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:56:00;1017;158,598;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:57:00;1018;158,063;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:58:00;1019;158,759;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;16:59:00;1020;159,935;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:00:00;1021;161,272;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:01:00;1022;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:02:00;1023;161,432;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:03:00;1024;162,020;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:04:00;1025;161,272;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:05:00;1026;161,753;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:06:00;1027;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:07:00;1028;161,325;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:08:00;1029;160,951;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:09:00;1030;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:10:00;1031;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:11:00;1032;161,218;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:12:00;1033;160,737;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:13:00;1034;161,004;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:14:00;1035;160,416;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:15:00;1036;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:16:00;1037;161,004;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:17:00;1038;161,753;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:18:00;1039;161,860;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:19:00;1040;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:20:00;1041;161,058;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:21:00;1042;160,684;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:22:00;1043;161,058;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:23:00;1044;161,272;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:24:00;1045;160,630;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:25:00;1046;161,165;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:26:00;1047;161,004;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:27:00;1048;160,951;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:28:00;1049;160,737;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:29:00;1050;162,127;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:30:00;1051;162,234;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:31:00;1052;161,967;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:32:00;1053;161,325;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:33:00;1054;162,127;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:34:00;1055;162,020;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:35:00;1056;162,127;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:36:00;1057;161,860;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:37:00;1058;161,753;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:38:00;1059;161,593;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:39:00;1060;160,684;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:40:00;1061;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:41:00;1062;161,165;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:42:00;1063;160,363;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:43:00;1064;161,058;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:44:00;1065;160,897;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:45:00;1066;161,165;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:46:00;1067;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:47:00;1068;161,432;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:48:00;1069;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:49:00;1070;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:50:00;1071;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:51:00;1072;161,967;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:52:00;1073;162,234;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:53:00;1074;161,967;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:54:00;1075;161,593;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:55:00;1076;162,822;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:56:00;1077;161,967;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:57:00;1078;161,004;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:58:00;1079;160,416;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;17:59:00;1080;161,165;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:00:00;1081;161,486;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:01:00;1082;161,699;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:02:00;1083;162,288;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:03:00;1084;162,341;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:04:00;1085;161,967;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:05:00;1086;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:06:00;1087;161,753;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:07:00;1088;161,539;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:08:00;1089;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:09:00;1090;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:10:00;1091;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:11:00;1092;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:12:00;1093;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:13:00;1094;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:14:00;1095;160,630;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:15:00;1096;160,630;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:16:00;1097;160,630;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:17:00;1098;160,897;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:18:00;1099;160,416;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:19:00;1100;160,149;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:20:00;1101;160,149;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:21:00;1102;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:22:00;1103;160,256;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:23:00;1104;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:24:00;1105;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:25:00;1106;159,721;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:26:00;1107;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:27:00;1108;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:28:00;1109;159,988;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:29:00;1110;159,454;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:30:00;1111;160,523;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:31:00;1112;160,684;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:32:00;1113;160,790;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:33:00;1114;160,470;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:34:00;1115;160,737;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:35:00;1116;159,828;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:36:00;1117;159,293;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:37:00;1118;159,133;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:38:00;1119;159,400;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:39:00;1120;159,186;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:40:00;1121;159,133;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:41:00;1122;159,454;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:42:00;1123;159,721;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:43:00;1124;159,935;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:44:00;1125;160,149;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:45:00;1126;159,881;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:46:00;1127;160,202;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:47:00;1128;159,668;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:48:00;1129;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:49:00;1130;159,721;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:50:00;1131;160,095;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:51:00;1132;159,614;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:52:00;1133;159,454;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:53:00;1134;159,721;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:54:00;1135;159,347;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:55:00;1136;158,598;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:56:00;1137;159,079;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:57:00;1138;158,919;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:58:00;1139;159,561;158,000;0,000;14,100;14,100;0,000;0,000
01.05.2026;18:59:00;1140;159,881;158,000;-2,104;14,100;14,100;0,000;3,209
01.05.2026;19:00:00;1141;159,400;157,000;-2,209;14,100;14,100;14,754;17,995
01.05.2026;19:01:00;1142;158,491;157,000;-10,459;14,100;14,100;20,416;21,742
01.05.2026;19:02:00;1143;158,331;157,000;-15,532;14,100;14,100;20,952;22,015
01.05.2026;19:03:00;1144;158,117;157,000;-15,469;14,100;14,100;20,984;21,994
01.05.2026;19:04:00;1145;157,582;157,000;-15,553;14,100;14,100;20,731;21,626
01.05.2026;19:05:00;1146;157,529;157,000;-15,301;14,100;14,100;21,226;22,173
01.05.2026;19:06:00;1147;157,047;157,000;-14,900;14,100;14,100;21,215;21,952
01.05.2026;19:07:00;1148;157,154;157,000;-14,690;14,100;14,100;21,100;22,068
01.05.2026;19:08:00;1149;156,887;157,000;-14,585;14,100;14,100;21,142;22,110
01.05.2026;19:09:00;1150;156,727;157,000;-14,185;14,100;14,100;21,110;22,036
01.05.2026;19:10:00;1151;157,047;157,000;-14,732;14,100;14,100;21,268;22,173
01.05.2026;19:11:00;1152;157,422;157,000;-15,132;14,100;14,100;21,005;21,878
01.05.2026;19:12:00;1153;157,422;157,000;-15,722;14,100;14,100;21,142;21,784
01.05.2026;19:13:00;1154;157,475;157,000;-15,553;14,100;14,100;20,952;22,089
01.05.2026;19:14:00;1155;157,422;157,000;-15,722;14,100;14,100;20,952;21,899
01.05.2026;19:15:00;1156;157,208;157,000;-16,057;14,100;14,100;20,900;21,720
01.05.2026;19:16:00;1157;158,277;157,000;-16,542;14,100;14,100;20,826;22,036
01.05.2026;19:17:00;1158;158,759;157,000;-16,373;14,100;14,100;21,142;21,794
01.05.2026;19:18:00;1159;157,850;157,000;-15,259;14,100;14,100;21,110;21,984
01.05.2026;19:19:00;1160;158,277;157,000;-16,079;14,100;14,100;20,994;22,057
01.05.2026;19:20:00;1161;158,598;157,000;-16,184;14,100;14,100;21,163;22,068
01.05.2026;19:21:00;1162;157,850;157,000;-15,763;14,100;14,100;21,384;22,068
01.05.2026;19:22:00;1163;158,063;157,000;-15,889;14,100;14,100;21,110;22,152
01.05.2026;19:23:00;1164;157,582;157,000;-14,711;14,100;14,100;21,268;22,120
01.05.2026;19:24:00;1165;157,796;157,000;-15,364;14,100;14,100;20,942;21,984
01.05.2026;19:25:00;1166;157,956;157,000;-15,490;14,100;14,100;21,142;21,931
01.05.2026;19:26:00;1167;157,850;157,000;-15,637;14,100;14,100;21,205;22,036
01.05.2026;19:27:00;1168;157,529;157,000;-15,132;14,100;14,100;21,268;22,110
01.05.2026;19:28:00;1169;157,422;157,000;-15,616;14,100;14,100;21,089;22,089
01.05.2026;19:29:00;1170;157,582;157,000;-15,384;14,100;14,100;21,100;21,931
01.05.2026;19:30:00;1171;157,529;157,000;-15,869;14,100;14,100;21,152;22,099
01.05.2026;19:31:00;1172;157,422;157,000;-15,490;14,100;14,100;21,110;22,047
01.05.2026;19:32:00;1173;157,475;157,000;-16,016;14,100;14,100;20,963;21,984
01.05.2026;19:33:00;1174;157,743;157,000;-16,501;14,100;14,100;20,805;21,731
01.05.2026;19:34:00;1175;157,850;157,000;-15,827;14,100;14,100;20,668;21,720
01.05.2026;19:35:00;1176;158,010;157,000;-16,037;14,100;14,100;20,510;21,636
01.05.2026;19:36:00;1177;157,315;157,000;-16,205;14,100;14,100;20,794;21,689
01.05.2026;19:37:00;1178;157,582;157,000;-16,374;14,100;14,100;20,836;21,594
01.05.2026;19:38:00;1179;157,475;157,000;-15,552;14,100;14,100;20,773;21,699
01.05.2026;19:39:00;1180;157,261;157,000;-15,911;14,100;14,100;20,858;21,699
01.05.2026;19:40:00;1181;157,475;157,000;-15,384;14,100;14,100;20,731;21,647
01.05.2026;19:41:00;1182;157,154;157,000;-15,384;14,100;14,100;20,689;21,689
01.05.2026;19:42:00;1183;157,475;157,000;-15,532;14,100;14,100;20,784;21,647
01.05.2026;19:43:00;1184;156,513;157,000;-14,942;14,100;14,100;20,900;21,742
01.05.2026;19:44:00;1185;156,673;157,000;-13,344;14,100;14,100;20,900;21,678
01.05.2026;19:45:00;1186;156,780;157,000;-11,259;14,100;14,100;20,689;21,752
01.05.2026;19:46:00;1187;157,047;157,000;-12,648;14,100;14,100;20,879;21,478
01.05.2026;19:47:00;1188;157,154;157,000;-15,026;14,100;14,100;20,584;21,489
01.05.2026;19:48:00;1189;157,047;157,000;-12,669;14,100;14,100;20,510;21,636
01.05.2026;19:49:00;1190;157,582;157,000;-11,596;14,100;14,100;20,573;21,521
01.05.2026;19:50:00;1191;156,673;157,000;-13,322;14,100;14,100;20,573;21,594
01.05.2026;19:51:00;1192;156,940;157,000;-11,891;14,100;14,100;20,626;21,584
01.05.2026;19:52:00;1193;157,154;157,000;-8,670;14,100;14,100;21,005;21,300
01.05.2026;19:53:00;1194;156,513;157,000;-7,681;14,100;14,100;20,542;21,521
01.05.2026;19:54:00;1195;156,406;157,000;-10,755;14,100;14,100;20,679;21,521
01.05.2026;19:55:00;1196;156,620;157,000;-8,080;14,100;14,100;20,542;21,563
01.05.2026;19:56:00;1197;156,994;157,000;-8,565;14,100;14,100;20,910;21,478
01.05.2026;19:57:00;1198;156,780;157,000;-9,050;14,100;14,100;20,626;21,478
01.05.2026;19:58:00;1199;157,315;157,000;-12,565;14,100;14,100;20,805;21,478
01.05.2026;19:59:00;1200;157,475;157,000;-14,185;14,100;14,100;20,963;21,521
01.05.2026;20:00:00;1201;156,940;157,000;-14,227;14,100;14,100;21,005;21,542
01.05.2026;20:01:00;1202;157,315;157,000;-14,922;14,100;14,100;20,826;21,331
01.05.2026;20:02:00;1203;157,956;157,000;-15,743;14,100;14,100;20,626;21,321
01.05.2026;20:03:00;1204;157,956;157,000;-15,321;14,100;14,100;20,805;21,542
01.05.2026;20:04:00;1205;157,796;157,000;-15,258;14,100;14,100;20,731;21,542
01.05.2026;20:05:00;1206;157,582;157,000;-15,027;14,100;14,100;20,531;21,426
01.05.2026;20:06:00;1207;157,208;157,000;-14,669;14,100;14,100;20,826;21,542
01.05.2026;20:07:00;1208;157,208;157,000;-14,122;14,100;14,100;21,005;21,521
01.05.2026;20:08:00;1209;156,780;157,000;-9,092;14,100;14,100;20,858;21,510
01.05.2026;20:09:00;1210;157,422;157,000;-6,145;14,100;14,100;20,773;21,573
01.05.2026;20:10:00;1211;156,940;157,000;-14,100;14,100;14,100;20,847;21,510
01.05.2026;20:11:00;1212;156,994;157,000;-12,922;14,100;14,100;20,700;21,436
01.05.2026;20:12:00;1213;156,780;157,000;-14,437;14,100;14,100;20,594;21,384
01.05.2026;20:13:00;1214;156,994;157,000;-14,922;14,100;14,100;20,858;21,405
01.05.2026;20:14:00;1215;157,208;157,000;-14,922;14,100;14,100;20,858;21,594
01.05.2026;20:15:00;1216;156,780;157,000;-14,796;14,100;14,100;21,057;21,478
01.05.2026;20:16:00;1217;157,047;157,000;-14,817;14,100;14,100;20,742;21,415
01.05.2026;20:17:00;1218;157,208;157,000;-14,584;14,100;14,100;20,700;21,742
01.05.2026;20:18:00;1219;157,154;157,000;-14,796;14,100;14,100;20,879;21,773
01.05.2026;20:19:00;1220;157,208;157,000;-14,943;14,100;14,100;20,805;21,478
01.05.2026;20:20:00;1221;157,315;157,000;-14,922;14,100;14,100;20,836;21,563
01.05.2026;20:21:00;1222;156,727;157,000;-14,395;14,100;14,100;20,879;21,647
01.05.2026;20:22:00;1223;156,940;157,000;-15,069;14,100;14,100;20,742;21,542
01.05.2026;20:23:00;1224;157,208;157,000;-15,869;14,100;14,100;20,984;21,647
01.05.2026;20:24:00;1225;157,582;157,000;-15,722;14,100;14,100;20,858;21,731
01.05.2026;20:25:00;1226;156,994;157,000;-14,859;14,100;14,100;20,752;21,636
01.05.2026;20:26:00;1227;157,261;157,000;-15,342;14,100;14,100;20,836;21,563
01.05.2026;20:27:00;1228;156,994;157,000;-14,712;14,100;14,100;20,879;21,457
01.05.2026;20:28:00;1229;157,422;157,000;-15,258;14,100;14,100;20,584;21,636
01.05.2026;20:29:00;1230;156,940;157,000;-15,237;14,100;14,100;20,615;21,584
01.05.2026;20:30:00;1231;157,796;157,000;-16,163;14,100;14,100;20,437;21,752
01.05.2026;20:31:00;1232;157,796;157,000;-16,458;14,100;14,100;20,573;21,594
01.05.2026;20:32:00;1233;157,956;157,000;-16,711;14,100;14,100;20,826;21,626
01.05.2026;20:33:00;1234;157,689;157,000;-16,079;14,100;14,100;20,731;21,415
01.05.2026;20:34:00;1235;157,422;157,000;-15,974;14,100;14,100;20,742;21,699
01.05.2026;20:35:00;1236;157,529;157,000;-15,637;14,100;14,100;20,563;21,426
01.05.2026;20:36:00;1237;157,261;157,000;-14,985;14,100;14,100;20,731;21,531
01.05.2026;20:37:00;1238;157,582;157,000;-15,595;14,100;14,100;20,626;21,615
01.05.2026;20:38:00;1239;157,208;157,000;-14,691;14,100;14,100;20,679;21,752
01.05.2026;20:39:00;1240;157,154;157,000;-15,279;14,100;14,100;20,542;21,510
01.05.2026;20:40:00;1241;157,582;157,000;-15,763;14,100;14,100;20,458;21,647
01.05.2026;20:41:00;1242;157,422;157,000;-15,700;14,100;14,100;20,573;21,478
01.05.2026;20:42:00;1243;156,994;157,000;-15,595;14,100;14,100;20,584;21,626
01.05.2026;20:43:00;1244;157,315;157,000;-15,448;14,100;14,100;20,626;21,626
01.05.2026;20:44:00;1245;157,261;157,000;-15,279;14,100;14,100;20,521;21,542
01.05.2026;20:45:00;1246;157,315;157,000;-15,259;14,100;14,100;20,626;21,531
01.05.2026;20:46:00;1247;157,743;157,000;-15,364;14,100;14,100;20,563;21,626
01.05.2026;20:47:00;1248;157,582;157,000;-15,406;14,100;14,100;20,679;21,626
01.05.2026;20:48:00;1249;157,689;157,000;-15,385;14,100;14,100;20,752;21,615
01.05.2026;20:49:00;1250;157,850;157,000;-16,184;14,100;14,100;20,563;21,436
01.05.2026;20:50:00;1251;157,529;157,000;-15,700;14,100;14,100;20,521;21,678
01.05.2026;20:51:00;1252;157,475;157,000;-15,889;14,100;14,100;20,668;21,647
01.05.2026;20:52:00;1253;157,796;157,000;-15,827;14,100;14,100;20,637;21,510
01.05.2026;20:53:00;1254;157,422;157,000;-16,015;14,100;14,100;20,900;21,731
01.05.2026;20:54:00;1255;157,315;157,000;-15,469;14,100;14,100;20,900;21,573
01.05.2026;20:55:00;1256;157,208;157,000;-15,005;14,100;14,100;20,879;21,689
01.05.2026;20:56:00;1257;157,529;157,000;-15,616;14,100;14,100;21,110;21,805
01.05.2026;20:57:00;1258;157,154;157,000;-15,700;14,100;14,100;21,163;21,805
01.05.2026;20:58:00;1259;157,796;157,000;-16,058;14,100;14,100;20,826;22,015
01.05.2026;20:59:00;1260;157,689;157,000;-16,079;14,100;14,100;20,910;21,878
01.05.2026;21:00:00;1261;157,582;157,000;-15,448;14,100;14,100;21,015;21,773
01.05.2026;21:01:00;1262;156,887;157,000;-14,354;14,100;14,100;20,984;22,005
01.05.2026;21:02:00;1263;157,422;157,000;-14,311;14,100;14,100;20,826;21,742
01.05.2026;21:03:00;1264;157,582;157,000;-13,470;14,100;14,100;20,994;22,036
01.05.2026;21:04:00;1265;158,063;157,000;-15,910;14,100;14,100;20,794;21,647
01.05.2026;21:05:00;1266;157,743;157,000;-15,763;14,100;14,100;21,089;21,889
01.05.2026;21:06:00;1267;157,315;157,000;-15,279;14,100;14,100;20,994;21,994
01.05.2026;21:07:00;1268;157,422;157,000;-14,879;14,100;14,100;20,742;21,878
01.05.2026;21:08:00;1269;157,047;157,000;-15,279;14,100;14,100;20,679;21,952
01.05.2026;21:09:00;1270;157,582;157,000;-15,427;14,100;14,100;20,731;21,752
