sep=;
Kaynak;Veri Tipi;Ölçüm Zamanı;YTM;Santral;YKS İç Bara ID;Bara ID;Bara Adı;TPYS Set;Canlı Bara;Pgen MW;Qgen MVAr;Yardımcı Kaynak MW;Yardımcı Kaynak MVAr;Yardımcı D.İ. Limit;Yardımcı A.İ. Limit;D.İ. Limit;A.İ. Limit;Ana Onay;Yardımcı Onay
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:48:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,83;-15,28;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:49:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,59;-14,98;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:50:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,84;-15,66;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:51:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,75;-16,01;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:52:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,63;-16,33;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:53:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,94;-16,4;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:54:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,81;-16,77;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:55:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,96;-16,4;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:56:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,72;-16,4;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:57:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,27;41,81;-17,07;;;;;-13,896;26,208;"=""1""";
"=""API""";"=""CONVENTIONAL""";"=""2026-05-01T00:58:00+03:00""";"=""OA_YTM""";"=""BAYRAMHACILI BARAJI ve HES""";"=""10933818988""";"=""2110""";"=""BAYRAMHACILI 154""";157;158,43;41,8;-16,69;;;;;-13,896;26,208;"=""1""";
