"Sira";"Trafo";"TM";"Tip";"MW";"MVAR";"Yuklenme (%)"
"187";"TR-B";"KIZILIRMAK";"Dağıtım Trafosu";"-4,99";"1,94";"7,98"
"188";"TR-A";"KIZILIRMAK";"Dağıtım Trafosu";"-4,93";"1,92";"7,89"
"189";"TR-B";"POLATLI ÇİMENTO";"Dağıtım Trafosu";"-3,15";"0,03";"7,88"
"190";"TR-A";"ERKİLET";"Dağıtım Trafosu";"-7,82";"0,74";"7,82"
"191";"TR-A";"NEVŞEHİR";"Dağıtım Trafosu";"-7,72";"-1,74";"7,72"
"192";"TR-A";"YİBİTAŞ";"Dağıtım Trafosu";"4,75";"0,36";"7,60"
"193";"TR-B";"SELÇUKLU";"Dağıtım Trafosu";"4,72";"0,29";"7,55"
"194";"TR-A";"KARALIK RES";"Dağıtım Trafosu";"-7,43";"2,89";"7,43"
"195";"TR-A";"ÇUMRA";"Dağıtım Trafosu";"-7,41";"-1,26";"7,41"
"196";"TR-B";"TAKSAN";"Dağıtım Trafosu";"-7,18";"0,21";"7,18"
"197";"TR-A";"TAKSAN";"Dağıtım Trafosu";"-4,47";"0,50";"7,16"
"198";"TR-C";"SİNCAN";"Dağıtım Trafosu";"7,09";"-1,03";"7,09"
"199";"TR-A";"KONYA KUZEY";"Dağıtım Trafosu";"6,75";"0,05";"6,75"
"200";"TR-B";"TALAS";"Dağıtım Trafosu";"-6,66";"2,64";"6,66"
"201";"TR-A";"ATAKALE RES";"Dağıtım Trafosu";"-4,15";"1,06";"6,63"
"202";"TR-A";"EŞMEKAYA";"Dağıtım Trafosu";"-6,60";"0,17";"6,60"
"203";"TR-B";"MİSLİOVA";"Dağıtım Trafosu";"6,35";"-0,35";"6,35"
"204";"TR-A";"MENEKŞE RES";"Dağıtım Trafosu";"3,94";"0,06";"6,30"
"205";"TR-B";"KALABA";"Dağıtım Trafosu";"-3,78";"-0,21";"6,04"
"206";"TR-B";"SİVRİHİSAR";"Dağıtım Trafosu";"3,73";"-0,17";"5,97"
"207";"TR-B";"HACILAR";"Dağıtım Trafosu";"3,66";"2,05";"5,85"
"208";"TR-A";"SİVRİHİSAR";"Dağıtım Trafosu";"3,65";"-0,23";"5,83"
"209";"TR-B";"KAYSERİ KAPASİTÖR";"Dağıtım Trafosu";"5,61";"0,64";"5,61"
"210";"TR-A";"ERCİYES RES";"Dağıtım Trafosu";"";"4,04";"5,38"
"211";"TR-A";"ŞEREFLİKOÇHİSAR";"Dağıtım Trafosu";"-3,31";"0,67";"5,29"
"212";"TR-B";"BEYPAZARI";"Dağıtım Trafosu";"-3,28";"-0,62";"5,25"
"213";"TR-B";"PINARBAŞI";"Dağıtım Trafosu";"5,08";"0,33";"5,08"
"214";"TR-B";"KOLUKISA";"Dağıtım Trafosu";"4,86";"-0,79";"4,86"
"215";"TR-A";"AKYURT";"Dağıtım Trafosu";"3,03";"3,54";"4,85"
"216";"TR-B";"EŞMEKAYA";"Dağıtım Trafosu";"4,64";"0,43";"4,64"
"217";"TR-A";"SARIYAR HES";"Dağıtım Trafosu";"-2,89";"-0,08";"4,59"
"218";"TR-B";"SENDİREMEKE";"Dağıtım Trafosu";"-2,85";"0,31";"4,56"
"219";"TR-B";"KAYSERİ2";"Dağıtım Trafosu";"-4,42";"2,15";"4,42"
"220";"TR-A";"ATA RES";"Dağıtım Trafosu";"2,65";"0,01";"4,24"
"221";"TR-A";"SENDİREMEKE";"Dağıtım Trafosu";"-2,62";"1,36";"4,19"
"222";"TR-B";"ALAKOVA";"Dağıtım Trafosu";"-4,12";"0,26";"4,12"
"223";"TR-B";"KIZÖREN";"Dağıtım Trafosu";"-4,10";"-0,73";"4,10"
"224";"TR-B";"KARAMAN OSB";"Dağıtım Trafosu";"-3,82";"0,95";"3,82"
"225";"TR-A";"KIZÖREN";"Dağıtım Trafosu";"-3,69";"-1,77";"3,69"
"226";"TR-B";"KARAMAN";"Dağıtım Trafosu";"";"-3,38";"3,38"
"227";"TR-B";"BOR OSB";"Dağıtım Trafosu";"3,29";"0,31";"3,29"
"228";"TR-B";"ATAKALE RES";"Dağıtım Trafosu";"3,95";"2,24";"3,16"
"229";"TR-A";"KOLUKISA";"Dağıtım Trafosu";"-3,06";"0,04";"3,06"
"230";"TR";"YUNUS EMRE TES";"Dağıtım Trafosu";"1,42";"0,46";"2,84"
"231";"PRTR-7";"KAZAN DGKÇ";"Dağıtım Trafosu";"";"-1,71";"2,74"
"232";"TR-A";"YOZGAT";"Dağıtım Trafosu";"-1,57";"0,11";"2,52"
"233";"TR-A";"HOTAMIŞ";"Dağıtım Trafosu";"2,38";"-0,08";"2,38"
"234";"TR-B";"KONYA KUZEY";"Dağıtım Trafosu";"1,46";"0,14";"2,33"
"235";"TR-A";"KARAMAN";"Dağıtım Trafosu";"-2,31";"-2,06";"2,31"
"236";"TR-A";"BEYYURDU RES";"Dağıtım Trafosu";"-1,44";"0,02";"2,30"
"237";"TR-A";"MİSLİOVA";"Dağıtım Trafosu";"-2,21";"-0,65";"2,21"
"238";"TR-A";"ÇAMINBAŞI RES";"Dağıtım Trafosu";"-1,14";"-0,01";"1,82"
"239";"TR-A";"GÜNEYSINIR";"Dağıtım Trafosu";"1,07";"0,01";"1,72"
"240";"TR-A";"ALTINOVA";"Dağıtım Trafosu";"1,07";"-0,33";"1,71"
"241";"TR-B";"DERİNKUYU";"Dağıtım Trafosu";"1,67";"-0,19";"1,67"
"242";"TR-A";"KUYULUKOYAK RES";"Dağıtım Trafosu";"-0,41";"-0,01";"1,64"
"243";"TR-A";"YERKÖY";"Dağıtım Trafosu";"0,95";"-0,72";"1,52"
"244";"TR-A";"BOĞAZLIYAN";"Dağıtım Trafosu";"-0,88";"-0,65";"1,41"
"245";"TR-A";"ALTINEKİN";"Dağıtım Trafosu";"-1,39";"-0,71";"1,39"
"246";"TR-C";"KONYA OSB";"Dağıtım Trafosu";"-1,29";"-0,88";"1,29"
"247";"TR-B";"YERKÖY";"Dağıtım Trafosu";"0,75";"0,25";"1,19"
"248";"TR-A";"KARATAY";"Dağıtım Trafosu";"1,11";"0,00";"1,11"
"249";"TR-B";"ORTAKÖY";"Dağıtım Trafosu";"0,62";"-1,24";"1,00"
"250";"TR-A";"NİĞDE ÇİMSA";"Dağıtım Trafosu";"-0,30";"-0,05";"0,95"
"251";"TR-A";"AKDAĞ MADENİ";"Dağıtım Trafosu";"0,54";"0,08";"0,87"
"252";"TR-A";"BAĞLICA";"Dağıtım Trafosu";"";"-0,87";"0,87"
"253";"TR-B";"BOĞAZLIYAN";"Dağıtım Trafosu";"-0,54";"1,06";"0,86"
"254";"TR-B";"YEŞİLHİSAR";"Dağıtım Trafosu";"0,52";"0,29";"0,83"
"255";"TR-B";"ÇUMRA";"Dağıtım Trafosu";"-0,69";"-0,49";"0,69"
"256";"TR-B";"ALTINEKİN";"Dağıtım Trafosu";"0,55";"-0,24";"0,55"
