Bara Tipi;Bara ID;Bara Adı;RGK Tipi;Bara Gerilim Seviyesi;BYTM;TPYS Santral ID;TPYS Santral İsmi;Bara 1 TA;Bara 1 Setnum;Bara 2 TA;Bara 2 Setnum;Bara 3 TA;Bara 3 Setnum;Ünite Adı;UEVCB Adı;TPYS UEVCB ID;Kaynak Tipi;Aktif Güç TA;Aktif Güç Setnum;Reaktif Güç TA;Reaktif Güç Setnum;Ünite Nominal Güç;Ünite PMKUD;Nominal İkaz (Düşük);Nominal İkaz (Aşırı);Ünite Aktif mi ?
CONVENTIONAL;5453;KARGI BARAJI VE HES;CONVENTIONAL_AFTER_1996;154;OA_YTM;11022;KARGI BARAJI VE HES;KARGIHS/154/BB-1/U;2,1,49893;KARGIHS/154/BB-2/U;2,1,49894;-;-;ÜNİTE-1;KARGI BARAJI VE HES;3198990;RESERVOIR;KARGIHS/11/Gen1/P;2,1,49920;KARGIHS/11/Gen1/Q;2,1,49921;46,92;20;;;AKTİF
CONVENTIONAL;5453;KARGI BARAJI VE HES;CONVENTIONAL_AFTER_1996;154;OA_YTM;11022;KARGI BARAJI VE HES;KARGIHS/154/BB-1/U;2,1,49893;KARGIHS/154/BB-2/U;2,1,49894;-;-;ÜNİTE-2;KARGI BARAJI VE HES;3198990;RESERVOIR;KARGIHS/11/Gen2/P;2,1,49924;KARGIHS/11/Gen2/Q;2,1,49925;46,92;20;;;AKTİF
CONVENTIONAL;5673;KAZAN SODA DGKÇS;CONVENTIONAL_AFTER_1996;154;OA_YTM;11182;KAZAN DOĞALGAZ KOJ.SANT.;KAZANDG/154/BB-1/U;2,1,71940;KAZANDG/154/BB-2/U;2,1,72145;-;-;ÜNİTE-GT;KAZAN DOĞALGAZ KOJ.SANT.;3199473;NATURAL_GAS;KAZANDG/20/Gen1/P;2,1,72199;KAZANDG/20/Gen1/Q;2,1,72200;271;160;;;AKTİF
CONVENTIONAL;5673;KAZAN SODA DGKÇS;CONVENTIONAL_AFTER_1996;154;OA_YTM;11182;KAZAN DOĞALGAZ KOJ.SANT.;KAZANDG/154/BB-1/U;2,1,71940;KAZANDG/154/BB-2/U;2,1,72145;-;-;ÜNİTE-BT;KAZAN DOĞALGAZ KOJ.SANT.;3199473;NATURAL_GAS;KAZANDG/11/Gen2/P;2,1,72204;KAZANDG/11/Gen2/Q;2,1,72205;108;60;;;AKTİF
CONVENTIONAL;2107;KESİKKÖPRÜ 154;CONVENTIONAL_BEFORE_1996;154;OA_YTM;235;KESİKKÖPRÜ HES;KESIKKOP/154/KIZ-KIRI/U;2,1,108345;KESIKKOP/154/KIZ-ATAK/U;2,1,108346;-;-;ÜNİTE 2;KESİKKÖPRÜ;1023;RESERVOIR;KESIKKOP/11/Gen 2/P;2,1,32136;KESIKKOP/11/Gen 2/Q;2,1,32137;38;28;;;AKTİF
CONVENTIONAL;2107;KESİKKÖPRÜ 154;CONVENTIONAL_BEFORE_1996;154;OA_YTM;235;KESİKKÖPRÜ HES;KESIKKOP/154/KIZ-KIRI/U;2,1,108345;KESIKKOP/154/KIZ-ATAK/U;2,1,108346;-;-;ÜNİTE 1;KESİKKÖPRÜ;1023;RESERVOIR;KESIKKOP/11/Gen 1/P;2,1,32131;KESIKKOP/11/Gen 1/Q;2,1,32132;38;28;;;AKTİF
WIND;4772;KURTKAYASI RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;9703;KURTKAYASI RES(ARE);KURTKAYA/154/BB-A/U;2,1,62359;-;-;-;-;Ünite 1-19;KURTKAYASI RES(ARE);3194585;WIND;KURTKAYA/154/swTR-A/P;2,1,62671;KURTKAYA/154/swTR-A/Q;2,1,62707;48,6;-;-15,97;15,97;AKTİF
WIND;6282;OYAK ANKARA-1 GES (LİSANSSIZ);GES_AFTER_2020_KV;154;OA_YTM;5013643;LÜY_İLETİM_GES_K3 BAŞKENT_OYAK ANKARA-1 GES;OYAK1GES/154/BB-A/U;2,1,160742;-;-;-;-;Ünite 1-14;OYAK ANKARA-1 GES_TRA, TRB(ST)_LUY_GES_İLETİM_5.1.H;5013592;SUN;OYAK1GES/154/RGKTOP/P;2,1,161643;OYAK1GES/154/RGKTOP/Q;2,1,161644;97,8;-;-47,37;47,37;AKTİF
WIND;6227;İGA GES (LİSANSSIZ);GES_AFTER_2020_KV;400;OA_YTM;5012347;LÜY_İLETİM_GES_K3 OSMANGAZİ_İGA GES(ESKİŞEHİR);IGAGES/400/BB 1/U;2,1,158975;IGAGES/400/BB 2/U;2,1,158977;-;-;Ünite 1-18;İGA GES(ESKİŞEHİR)_(ST)_LUY_GES_İLETİM_5.1.H;5012361;SUN;IGAGES/400/RGKTOP/P;2,1,159930;IGAGES/400/RGKTOP/Q;2,1,159931;199,32;-;-96,54;96,54;AKTİF
WIND;6201;R3-ANKARA-2-1;WIND_AFTER_2013_RES_KV;154;OA_YTM;5003861;R3-ANKARA-2-1 RES;R3ANKARA/154/BB-1/U;2,1,153989;-;-;-;-;Ünite 1-12;R3-ANKARA-2-1 RES;5003862;WIND;R3ANKARA/154/swTR-1/P;2,1,154007;R3ANKARA/154/swTR-1/Q;2,1,154008;50;-;-16,43;16,43;AKTİF
WIND;6275;R3-KARAMAN-1 RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;5012961;R3-KARAMAN-1 RES;R3KRMN1R/154/BB-A/U;2,1,158880;-;-;-;-;Ünite 1-17;R3-KARAMAN-1 RES;5012962;WIND;R3KRMN1R/154/swTR-A/P;2,1,158896;R3KRMN1R/154/swTR-A/Q;2,1,158897;42;-;-13,81;13,81;AKTİF
WIND;6239;R3-YOZGAT-1 RES;WIND_AFTER_2013_RES_KV;154;OA_YTM;5012663;R3-YOZGAT-1 RES;KARALIKR/154/BB-1/U;2,1,156165;-;-;-;-;ÜNİTE 1-5;R3-YOZGAT-1 RES;5012681;WIND;KARALIKR/154/RGKTOP/P;2,1,162006;KARALIKR/154/RGKTOP/Q;2,1,162007;50;-;-16,43;16,43;AKTİF
CONVENTIONAL;2108;SARIYAR 154;CONVENTIONAL_BEFORE_1996;154;OA_YTM;154;SARIYAR HES;SARIYAR/154/BB 1/U;2,1,106816;-;-;-;-;Gen 3;SARIYAR 1;882;RESERVOIR;SARIYAR/13.8/Gen 3/P;2,1,106859;SARIYAR/13.8/Gen 3/Q;2,1,106860;40;40;;;AKTİF
CONVENTIONAL;2108;SARIYAR 154;CONVENTIONAL_BEFORE_1996;154;OA_YTM;154;SARIYAR HES;SARIYAR/154/BB 1/U;2,1,106816;-;-;-;-;Gen 2;SARIYAR 1;882;RESERVOIR;SARIYAR/13.8/Gen 2/P;2,1,106855;SARIYAR/13.8/Gen 2/Q;2,1,106856;40;40;;;AKTİF
CONVENTIONAL;2108;SARIYAR 154;CONVENTIONAL_BEFORE_1996;154;OA_YTM;154;SARIYAR HES;SARIYAR/154/BB 1/U;2,1,106816;-;-;-;-;Gen 1;SARIYAR 1;882;RESERVOIR;SARIYAR/13.8/Gen 1/P;2,1,106846;SARIYAR/13.8/Gen 1/Q;2,1,106847;40;40;;;AKTİF
CONVENTIONAL;2108;SARIYAR 154;CONVENTIONAL_BEFORE_1996;154;OA_YTM;154;SARIYAR HES;SARIYAR/154/BB 1/U;2,1,106816;-;-;-;-;Gen 4;SARIYAR 1;882;RESERVOIR;SARIYAR/13.8/Gen 4/P;2,1,106863;SARIYAR/13.8/Gen 4/Q;2,1,106864;40;40;;;AKTİF
WIND;6083;TEKSİN GES;GES_AFTER_2020_KV;154;OA_YTM;15183;TEKSİN GES;TEKSINGE/154/BB-A/U;2,1,107775;-;-;-;-;ÜNİTE A;TEKSİN GES;3212790;SUN;TEKSINGE/154/swTR-1/P;2,1,107781;TEKSINGE/154/swTR-1/Q;2,1,107782;33,12;-;-16,04;16,04;AKTİF
CONVENTIONAL;2114;YAMULA HES 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;348;YAMULA BARAJI VE HES;YAMULAHS/154/BB-1/U;2,1,50227;YAMULAHS/154/BB-2/U;2,1,50228;-;-;ÜNİTE-1;YAMULA HES-1;3204401;RESERVOIR;YAMULAHS/11/Gen1/P;2,1,50257;YAMULAHS/11/Gen1/Q;2,1,50258;50;25,5;;;AKTİF
CONVENTIONAL;2114;YAMULA HES 154;CONVENTIONAL_AFTER_1996;154;OA_YTM;348;YAMULA BARAJI VE HES;YAMULAHS/154/BB-1/U;2,1,50227;YAMULAHS/154/BB-2/U;2,1,50228;-;-;ÜNİTE-2;YAMULA HES-2;3204402;RESERVOIR;YAMULAHS/11/Gen2/P;2,1,50253;YAMULAHS/11/Gen2/Q;2,1,50254;50;25,5;;;AKTİF
CONVENTIONAL;2109;YENİCE 154;CONVENTIONAL_BEFORE_1996;154;OA_YTM;11782;YENİCE HES;YENICE/154/BB A/U;2,1,50623;-;-;-;-;ÜNİTE-1;YENİCE HES(KILIÇ ENR.);3200709;RESERVOIR;YENICE/34.5/Gen1/P;2,1,50664;YENICE/34.5/Gen1/Q;2,1,50665;12,33;10,5;;;AKTİF
CONVENTIONAL;2109;YENİCE 154;CONVENTIONAL_BEFORE_1996;154;OA_YTM;11782;YENİCE HES;YENICE/154/BB A/U;2,1,50623;-;-;-;-;ÜNİTE-3;YENİCE HES(KILIÇ ENR.);3200709;RESERVOIR;YENICE/34.5/Gen3/P;2,1,50672;YENICE/34.5/Gen3/Q;2,1,50673;12,33;10,5;;;AKTİF
CONVENTIONAL;2109;YENİCE 154;CONVENTIONAL_BEFORE_1996;154;OA_YTM;11782;YENİCE HES;YENICE/154/BB A/U;2,1,50623;-;-;-;-;ÜNİTE-2;YENİCE HES(KILIÇ ENR.);3200709;RESERVOIR;YENICE/34.5/Gen2/P;2,1,50668;YENICE/34.5/Gen2/Q;2,1,50669;12,33;10,5;;;AKTİF
CONVENTIONAL;6154;YUNUS EMRE TES;CONVENTIONAL_AFTER_1996;400;OA_YTM;8179;YUNUS EMRE TERMİK SANTRALİ;YUNUSEMR/380/BB 1/U;2,1,57737;-;-;-;-;GR-1;YUNUS EMRE TERMİK SANTRALİ;3222476;LIGNITE;YUNUSEMR/15/Gen 1/P;2,1,59633;YUNUSEMR/15/Gen 1/Q;2,1,59634;145;73;;;AKTİF
