sep=;
Kaynak;Veri Tipi;Ölçüm Zamanı;YTM;Santral;YKS İç Bara ID;Bara ID;Bara Adı;TPYS Set;Canlı Bara;Pgen MW;Qgen MVAr;Yardımcı Kaynak MW;Yardımcı Kaynak MVAr;Yardımcı D.İ. Limit;Yardımcı A.İ. Limit;D.İ. Limit;A.İ. Limit;Ana Onay;Yardımcı Onay
"=""API""";"=""WIND""";"=""2026-04-27T00:43:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,19;3,97;0,39;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:44:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,5;3,97;0,34;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:45:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,71;3,97;0,47;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:46:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,14;3,97;0,41;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:47:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,96;1,98;0,53;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:48:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,24;1,98;0,3;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:49:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,55;1,98;0,46;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:50:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,66;1,98;0,33;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:51:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,96;4,96;0,68;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:52:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;158,19;4,96;0,68;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:53:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;159,48;4,96;0,3;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:54:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,88;4,96;0,27;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:55:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,78;4,96;0,36;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:56:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;159,43;4,96;0,32;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:57:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;157,32;4,96;0,66;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:58:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;159,43;4,96;0,69;;;;;;;;
"=""API""";"=""WIND""";"=""2026-04-27T00:59:00+03:00""";"=""OA_YTM""";"=""AKSU RES""";"=""10928268862""";"=""2890""";"=""AKSU ÇAMLICA RES""";0,99;159,43;4,96;0,26;;;;;;;;
